Area,Item,Year,Export Quantity (tonnes)
France,Dairy Products,1961,273173.0
France,Dairy Products,1962,243139.0
France,Dairy Products,1963,296745.0
France,Dairy Products,1964,300939.0
France,Dairy Products,1965,384208.0
France,Dairy Products,1966,608920.0
France,Dairy Products,1967,635280.0
France,Dairy Products,1968,724855.0
France,Dairy Products,1969,736772.0
France,Dairy Products,1970,838041.0
France,Dairy Products,1971,1036322.0
France,Dairy Products,1972,875168.0
France,Dairy Products,1973,1102903.0
France,Dairy Products,1974,1265196.0
France,Dairy Products,1975,880043.0
France,Dairy Products,1976,914319.0
France,Dairy Products,1977,1186524.0
France,Dairy Products,1978,1060460.0
France,Dairy Products,1979,1189230.0
France,Dairy Products,1980,1273879.0
France,Dairy Products,1981,1427265.0
France,Dairy Products,1982,1307578.0
France,Dairy Products,1983,1343452.0
France,Dairy Products,1984,1501509.0
France,Dairy Products,1985,1519599.0
France,Dairy Products,1986,1678182.0
France,Dairy Products,1987,1577731.0
France,Dairy Products,1988,1696594.0
France,Dairy Products,1989,1653940.0
France,Dairy Products,1990,1733021.0
France,Dairy Products,1991,1771844.0
France,Dairy Products,1992,1930187.0
France,Dairy Products,1993,2070533.0
France,Dairy Products,1994,2342650.0
France,Dairy Products,1995,2267938.0
France,Dairy Products,1996,2301089.0
France,Dairy Products,1997,2330964.0
France,Dairy Products,1998,2312327.0
France,Dairy Products,1999,2409528.0
France,Dairy Products,2000,2536296.0
France,Dairy Products,2001,2547293.0
France,Dairy Products,2002,2383756.0
France,Dairy Products,2003,2456781.0
France,Dairy Products,2004,2554143.0
France,Dairy Products,2005,2595443.0
France,Dairy Products,2006,2584509.0
France,Dairy Products,2007,2795724.0
France,Dairy Products,2008,2888955.0
France,Dairy Products,2009,2798748.0
France,Dairy Products,2010,2986250.0
France,Dairy Products,2011,3283755.0
France,Dairy Products,2012,3258309.0
France,Dairy Products,2013,3115976.0
France,Dairy Products,2014,3242568.91
France,Dairy Products,2015,3300222.06
France,Dairy Products,2016,3174740.8
France,Dairy Products,2017,2946627.45
France,Dairy Products,2018,2931834.89
France,Dairy Products,2019,2810131.06
France,Dairy Products,2020,2835930.32
France,Dairy Products,2021,2689553.42
France,Dairy Products,2022,2575362.46
Germany,Dairy Products,1961,17826.0
Germany,Dairy Products,1962,23728.0
Germany,Dairy Products,1963,24103.0
Germany,Dairy Products,1964,36599.0
Germany,Dairy Products,1965,68504.0
Germany,Dairy Products,1966,130378.0
Germany,Dairy Products,1967,211265.0
Germany,Dairy Products,1968,252706.0
Germany,Dairy Products,1969,247992.0
Germany,Dairy Products,1970,362505.0
Germany,Dairy Products,1971,610401.0
Germany,Dairy Products,1972,667559.0
Germany,Dairy Products,1973,1015582.0
Germany,Dairy Products,1974,1272912.0
Germany,Dairy Products,1975,1235282.0
Germany,Dairy Products,1976,1447461.0
Germany,Dairy Products,1977,1841077.0
