Area,Item,Year,Export Value (1000 USD)
France,Dairy Products,1961,117945.0
France,Dairy Products,1962,98869.0
France,Dairy Products,1963,124401.0
France,Dairy Products,1964,138628.0
France,Dairy Products,1965,170841.0
France,Dairy Products,1966,233970.0
France,Dairy Products,1967,265061.0
France,Dairy Products,1968,288545.0
France,Dairy Products,1969,349878.0
France,Dairy Products,1970,361893.0
France,Dairy Products,1971,494771.0
France,Dairy Products,1972,518953.0
France,Dairy Products,1973,759386.0
France,Dairy Products,1974,930162.0
France,Dairy Products,1975,917997.0
France,Dairy Products,1976,951062.0
France,Dairy Products,1977,1197955.0
France,Dairy Products,1978,1303298.0
France,Dairy Products,1979,1666894.0
France,Dairy Products,1980,2024913.0
France,Dairy Products,1981,2102943.0
France,Dairy Products,1982,1829223.0
France,Dairy Products,1983,1697473.0
France,Dairy Products,1984,1677825.0
France,Dairy Products,1985,1676043.0
France,Dairy Products,1986,2085001.0
France,Dairy Products,1987,2418542.0
France,Dairy Products,1988,2884966.0
France,Dairy Products,1989,2886481.0
France,Dairy Products,1990,3388921.0
France,Dairy Products,1991,3318218.0
France,Dairy Products,1992,3692558.0
France,Dairy Products,1993,3596913.0
France,Dairy Products,1994,3895325.0
France,Dairy Products,1995,4547477.0
France,Dairy Products,1996,4298285.0
France,Dairy Products,1997,3963588.0
France,Dairy Products,1998,3883445.0
France,Dairy Products,1999,3746064.0
France,Dairy Products,2000,3592529.0
France,Dairy Products,2001,3464739.0
France,Dairy Products,2002,3592388.0
France,Dairy Products,2003,4286884.0
France,Dairy Products,2004,4838984.0
France,Dairy Products,2005,4960425.0
France,Dairy Products,2006,5126785.0
France,Dairy Products,2007,6394990.0
France,Dairy Products,2008,7331645.0
France,Dairy Products,2009,6195576.0
France,Dairy Products,2010,6786862.0
France,Dairy Products,2011,7847429.0
France,Dairy Products,2012,7337299.0
France,Dairy Products,2013,7910374.0
France,Dairy Products,2014,8503637.77
France,Dairy Products,2015,6611060.84
France,Dairy Products,2016,6278337.07
France,Dairy Products,2017,6787654.55
France,Dairy Products,2018,6922496.66
France,Dairy Products,2019,6694925.57
France,Dairy Products,2020,6895845.37
France,Dairy Products,2021,7538876.36
France,Dairy Products,2022,7867681.09
Germany,Dairy Products,1961,10920.0
Germany,Dairy Products,1962,14987.0
Germany,Dairy Products,1963,16731.0
Germany,Dairy Products,1964,23878.0
Germany,Dairy Products,1965,55516.0
Germany,Dairy Products,1966,67777.0
Germany,Dairy Products,1967,99040.0
Germany,Dairy Products,1968,113083.0
Germany,Dairy Products,1969,123021.0
Germany,Dairy Products,1970,149116.0
Germany,Dairy Products,1971,288317.0
Germany,Dairy Products,1972,291102.0
Germany,Dairy Products,1973,483611.0
Germany,Dairy Products,1974,755950.0
Germany,Dairy Products,1975,905097.0
Germany,Dairy Products,1976,874957.0
Germany,Dairy Products,1977,1142616.0
Germany,Dairy Products,1978,1434726.0
Germany,Dairy Products,1979,1987115.0
Germany,Dairy Products,1980,2458480.0
Germany,Dairy Products,1981,2339692.0
Germany,Dairy Products,1982,2221703.0
Germany,Dairy Products,1983,1895752.0
Germany,Dairy Products,1984,1859912.0
Germany,Dairy Products,1985,1800273.0
Germany,Dairy Products,1986,2342487.0
Germany,Dairy Products,1987,3131656.0
Germany,Dairy Products,1988,4222710.0
Germany,Dairy Products,1989,3626129.0
Germany,Dairy Products,1990,3420445.0
Germany,Dairy Products,1991,3986382.0
Germany,Dairy Products,1992,4585444.0
Germany,Dairy Products,1993,4224138.0
Germany,Dairy Products,1994,4014520.0
Germany,Dairy Products,1995,4515591.0
Germany,Dairy Products,1996,4802861.0
Germany,Dairy Products,1997,4493800.0
Germany,Dairy Products,1998,4451721.0
Germany,Dairy Products,1999,3933631.0
Germany,Dairy Products,2000,3935669.0
Germany,Dairy Products,2001,4030882.0
Germany,Dairy Products,2002,3444423.0
Germany,Dairy Products,2003,5015606.0
Germany,Dairy Products,2004,5991544.0
Germany,Dairy Products,2005,5827150.0
Germany,Dairy Products,2006,6203165.0
Germany,Dairy Products,2007,8652478.0
Germany,Dairy Products,2008,9427537.0
Germany,Dairy Products,2009,7537847.0
Germany,Dairy Products,2010,8653881.0
Germany,Dairy Products,2011,10365930.0
Germany,Dairy Products,2012,9552149.0
Germany,Dairy Products,2013,11114491.0
Germany,Dairy Products,2014,11481717.41
Germany,Dairy Products,2015,8348605.65
Germany,Dairy Products,2016,8003605.46
Germany,Dairy Products,2017,9582696.17
Germany,Dairy Products,2018,9624978.79
Germany,Dairy Products,2019,9576798.78
Germany,Dairy Products,2020,9861287.85
Germany,Dairy Products,2021,10869051.84
Germany,Dairy Products,2022,12367197.28
